"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
735,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.4,0.05,2.0,-154164790,0.2,0.4,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
742,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.4,0.05,2.0,-154151192,0.2,0.6,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
749,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.4,0.05,2.0,-154133695,0.2,0.8,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
756,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.4,0.05,2.0,-154115098,0.2,1.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
763,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.6,0.05,2.0,-154095370,0.2,0.2,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
770,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.6,0.05,2.0,-154091500,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
777,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.6,0.05,2.0,-154077134,0.2,0.6,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
784,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.6,0.05,2.0,-154061355,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
791,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.6,0.05,2.0,-154044760,0.2,1.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
798,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.8,0.05,2.0,-154028243,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
