"run","foodBloatsWeight","foodMin","weightRegen","foodGrowth","foodUnsustainability","weightMaxFactor","weightResil","infert","weightBloatRate","push","foodRegen","weightImproveRate","foodDecay","randomSeed","weightMinFactor","droughtMod","foodMax","weightDrought","foodResil","fort","foodDrought","deathFraction"
648,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.035,0.005,0.1,267386307,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
654,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.0,267388580,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
660,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.0,267391351,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
666,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.0,267393676,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
672,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.0,267395939,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
678,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.05,267398280,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
684,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.05,267400783,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
690,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.05,267403254,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
696,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.05,267405746,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
702,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.05,267408132,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
708,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.1,267411644,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
714,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.1,267413974,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
720,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.1,267416709,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
726,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.35,1.0,0.07,0.005,0.1,267419637,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
732,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.0,267421839,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
738,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.0,267425065,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
744,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.0,267428065,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
750,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.0,267431431,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
756,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.0,267434438,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
762,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.05,267437947,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
768,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.05,267440808,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
774,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.05,267443447,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
780,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.05,267446804,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
786,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.1,267449471,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
792,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.1,267451451,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
798,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.1,267455382,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
804,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.1,267457687,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
810,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.0,0.005,0.1,267460363,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
816,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.0,267463234,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
822,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.0,267466158,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
828,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.0,267469379,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
834,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.0,267472524,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
840,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.05,267475448,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
846,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.05,267478967,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
852,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.05,267482391,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
858,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.05,267485487,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
864,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.05,267488433,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
870,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.1,267491834,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
876,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.1,267494705,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
882,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.1,267497730,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
888,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.035,0.005,0.1,267501383,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
894,0.0,0.0,0.0,0.02,1,5.0,0.5,100,0.0,1.0,0.07,0.005,0.0,267504576,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
